playerSum,dealerUpcard,usableAce,action,qValue,visitCount
12,9,1,0,-0.060000,700
12,9,1,1,-0.454545,11
12,8,1,0,0.047143,700
12,8,1,1,-1.000000,5
13,4,1,0,0.076240,1915
13,4,1,1,-0.259259,27
11,7,0,0,0.287684,8485
11,7,0,1,-0.510204,49
13,2,0,0,-0.493976,83
13,2,0,1,-0.286219,17277
15,6,0,0,-0.392405,79
15,6,0,1,-0.153299,14612
16,6,0,0,-0.283019,53
16,6,0,1,-0.171746,11354
6,2,0,0,-0.384615,13
6,2,0,1,-0.310599,2170
18,10,1,0,-0.201212,12216
18,10,1,1,-0.309859,71
12,11,0,0,-0.544363,16579
12,11,0,1,-0.636364,110
15,7,0,0,-0.361627,17554
15,7,0,1,-0.500867,577
18,2,0,0,-0.714286,63
18,2,0,1,0.113533,13441
13,6,0,0,-0.252427,103
13,6,0,1,-0.133685,16322
6,11,0,0,-0.555888,2675
6,11,0,1,-1.000000,11
19,9,1,0,-0.013534,665
19,9,1,1,0.306683,2514
10,11,0,0,-0.247680,7219
10,11,0,1,-0.764706,51
20,2,0,0,-0.833333,102
20,2,0,1,0.625889,18981
17,7,0,0,-0.470588,85
17,7,0,1,-0.103842,17334
12,4,0,0,-0.360825,97
12,4,0,1,-0.189170,16768
13,4,0,0,-0.213333,75
13,4,0,1,-0.179770,16115
19,6,0,0,-0.742424,66
19,6,0,1,0.491755,10794
15,6,1,0,0.128193,2192
15,6,1,1,-0.000000,18
9,3,0,0,0.127696,5842
9,3,0,1,-0.315789,38
16,2,1,0,-0.016689,2217
16,2,1,1,-0.230769,26
11,2,0,0,0.254503,7328
11,2,0,1,-0.303430,758
11,10,0,0,0.041956,34679
11,10,0,1,-0.547500,1600
10,3,0,0,0.244335,6487
10,3,0,1,0.023256,43
20,3,0,0,-0.802326,86
20,3,0,1,0.634429,17288
7,6,0,0,0.068718,3900
7,6,0,1,-0.176471,17
20,4,1,0,0.117647,17
20,4,1,1,0.640521,3149
20,11,0,0,-0.952000,125
20,11,0,1,0.159053,24715
8,4,0,0,0.044957,823
8,4,0,1,-0.158777,3697
18,4,0,0,-0.792453,53
18,4,0,1,0.147687,10854
16,5,1,0,0.149079,597
16,5,1,1,-0.096823,1322
10,2,0,0,0.204149,5158
10,2,0,1,-0.263666,1244
17,11,0,0,-0.694321,13753
17,11,0,1,-0.625028,4459
17,3,0,0,-0.413333,75
17,3,0,1,-0.101120,12856
19,6,1,0,0.285714,21
19,6,1,1,0.471111,3150
6,8,0,0,-0.251453,2581
6,8,0,1,-0.600000,45
13,3,0,0,-0.295238,105
13,3,0,1,-0.254871,14988
5,10,0,0,-0.380056,7120
5,10,0,1,-0.613636,704
18,8,1,0,-0.500000,10
18,8,1,1,0.101116,3046
20,8,0,0,-0.872727,110
20,8,0,1,0.789733,22324
14,4,1,0,0.073543,1115
14,4,1,1,-0.144578,996
16,10,0,0,-0.560953,77962
16,10,0,1,-0.628788,528
14,10,1,0,-0.156960,8104
14,10,1,1,-0.550239,418
9,2,0,0,0.086415,5543
9,2,0,1,-0.166667,24
16,3,0,0,-0.461538,78
16,3,0,1,-0.239340,13930
20,2,1,0,0.263158,19
20,2,1,1,0.665012,3021
7,4,0,0,-0.025808,3526
7,4,0,1,-0.157895,19
13,9,0,0,-0.397974,16883
13,9,0,1,-0.495868,242
11,3,0,0,0.307885,7990
11,3,0,1,-0.200000,325
15,3,0,0,-0.481481,81
15,3,0,1,-0.245043,15230
13,11,0,0,-0.579592,16993
13,11,0,1,-0.773913,115
9,4,0,0,0.186070,4896
9,4,0,1,-0.203463,924
12,5,0,0,-0.207187,1308
12,5,0,1,-0.131522,15199
19,10,1,0,-0.121951,82
19,10,1,1,0.012405,13140
7,2,0,0,-0.127545,3340
7,2,0,1,-0.294118,17
14,2,0,0,-0.372908,15060
14,2,0,1,-0.346117,1043
11,9,0,0,0.115854,8269
11,9,0,1,-0.546667,75
17,9,0,0,-0.581395,172
17,9,0,1,-0.408601,17161
10,4,0,0,0.282531,5564
10,4,0,1,-0.117021,940
20,4,0,0,-0.761364,88
