playerSum,dealerUpcard,usableAce,action,qValue,visitCount
12,4,1,0,0.137286,32
12,4,1,1,-1.000000,4
4,8,0,0,-0.180872,21
4,8,0,1,-0.841390,8
8,5,0,0,0.103386,208
8,5,0,1,-0.081632,24
16,11,1,0,-0.423457,101
16,11,1,1,-0.682275,13
12,5,1,0,0.490217,19
12,5,1,1,-0.218222,11
4,3,0,0,-0.139847,43
4,3,0,1,-0.208036,8
13,2,1,0,0.071324,65
13,2,1,1,-0.585209,11
12,2,1,0,0.193312,29
12,2,1,1,-0.743796,4
7,6,0,0,-0.025240,168
7,6,0,1,-0.214994,29
12,3,1,0,0.110321,26
12,3,1,1,-0.743796,4
13,3,1,0,0.202679,82
13,3,1,1,0.041475,11
12,6,1,0,0.289561,25
12,6,1,1,-0.358884,11
4,9,0,0,-0.330022,30
4,9,0,1,-0.610911,5
4,7,0,0,-0.134245,32
4,7,0,1,-1.000000,5
19,2,1,0,0.101932,134
19,2,1,1,-0.035333,19
15,5,1,0,0.051917,93
15,5,1,1,-0.410291,8
14,4,1,0,0.147276,80
14,4,1,1,-0.339556,11
20,6,1,0,0.192090,14
20,6,1,1,0.672523,135
16,3,1,0,0.061479,103
16,3,1,1,-0.187381,13
5,11,0,0,-0.508727,86
5,11,0,1,-1.000000,5
13,5,1,0,0.186901,76
13,5,1,1,-0.179304,16
14,6,1,0,0.157689,77
14,6,1,1,-0.702664,10
6,6,0,0,0.017993,114
6,6,0,1,-0.293651,19
13,8,0,0,-0.301177,812
13,8,0,1,-0.470469,132
11,11,0,0,-0.050168,370
11,11,0,1,-0.851928,48
18,6,0,0,-0.728715,63
18,6,0,1,0.318817,571
14,5,0,0,-0.426790,301
14,5,0,1,-0.235724,536
10,4,0,0,0.254453,292
10,4,0,1,-0.189387,37
16,5,0,0,-0.647633,77
16,5,0,1,-0.269773,694
19,3,0,0,-0.819443,57
19,3,0,1,0.459618,539
16,8,0,0,-0.485714,812
16,8,0,1,-0.572944,98
13,2,0,0,-0.361398,696
13,2,0,1,-0.417147,207
10,3,0,0,0.240144,288
10,3,0,1,-0.332066,39
15,6,0,0,-0.376901,64
15,6,0,1,-0.101278,719
21,9,1,0,0.000000,0
21,9,1,1,1.408135,437
8,11,0,0,-0.440360,241
8,11,0,1,-0.799894,33
14,6,0,0,-0.251486,95
14,6,0,1,-0.187079,776
16,9,1,0,-0.227649,93
16,9,1,1,-0.552325,27
13,6,0,0,-0.260067,279
13,6,0,1,-0.175878,571
21,11,1,0,0.000000,0
21,11,1,1,0.900929,377
9,3,0,0,0.151087,260
9,3,0,1,-0.080904,37
15,8,0,0,-0.434780,750
15,8,0,1,-0.441542,139
12,3,0,0,-0.392735,489
12,3,0,1,-0.180662,363
16,4,0,0,-0.435227,112
16,4,0,1,-0.212354,617
